Project,Period,Revenue,OperatingCost,Capex,Tax,WorkingCapitalDelta,NetCashFlow,CumulativeCashFlow,Scenario
Project A,2026-01-01,112058.1032679167,60300.580350955854,12240.0,6360.0,2575.0,30582.522916960843,357087.5229169608,Forecast
Project A,2026-02-01,113126.29286489263,60764.705726304855,12240.0,6360.0,2575.0,31186.587138587776,388274.1100555486,Forecast
Project A,2026-03-01,114204.664938475,61232.403411618194,12240.0,6360.0,2575.0,31797.26152685681,420071.3715824054,Forecast
Project A,2026-04-01,115293.31655273386,61703.70090248038,12240.0,6360.0,2575.0,32414.61565025348,452485.9872326589,Forecast
Project A,2026-05-01,116392.34569699875,62178.62590610569,12240.0,6360.0,2575.0,33038.719790893054,485524.7070235519,Forecast
Project A,2026-06-01,117501.85129467878,62657.206342967096,12240.0,6360.0,2575.0,33669.644951711685,519194.3519752636,Forecast
Project A,2026-07-01,118621.93321216672,63139.47034843763,12240.0,6360.0,2575.0,34307.462863729095,553501.8148389927,Forecast
Project A,2026-08-01,119752.6922678279,63625.446274444475,12240.0,6360.0,2575.0,34952.24599338342,588454.0608323761,Forecast
Project A,2026-09-01,120894.23024107484,64115.16269113575,12240.0,6360.0,2575.0,35604.067549939085,624058.1283823152,Forecast
Project A,2026-10-01,122046.64988152849,64608.64838856013,12240.0,6360.0,2575.0,36263.00149296836,660321.1298752836,Forecast
Project A,2026-11-01,123210.0549182666,65105.93237835936,12240.0,6360.0,2575.0,36929.12253990724,697250.2524151908,Forecast
Project A,2026-12-01,124384.55006916041,65607.04389547386,12240.0,6360.0,2575.0,37602.50617368655,734852.7585888774,Forecast
Project B,2026-01-01,95249.38777772921,54818.70940995987,10200.0,5300.0,1854.0,23076.67836776934,267520.2783677694,Forecast
Project B,2026-02-01,96157.34893515876,55240.641569368054,10200.0,5300.0,1854.0,23562.70736579071,291082.9857335601,Forecast
Project B,2026-03-01,97073.96519770379,55665.82128328927,10200.0,5300.0,1854.0,24054.14391441452,315137.1296479746,Forecast
Project B,2026-04-01,97999.3190698238,56094.27354770943,10200.0,5300.0,1854.0,24551.04552211437,339688.175170089,Forecast
Project B,2026-05-01,98933.49384244895,56526.02355100517,10200.0,5300.0,1854.0,25053.47029144378,364741.64546153275,Forecast
Project B,2026-06-01,99876.57360047699,56961.096675424626,10200.0,5300.0,1854.0,25561.47692505236,390303.1223865851,Forecast
Project B,2026-07-01,100828.64323034174,57399.51849857965,10200.0,5300.0,1854.0,26075.124731762087,416378.2471183472,Forecast
Project B,2026-08-01,101789.78842765374,57841.31479494951,10200.0,5300.0,1854.0,26594.473632704226,442972.72075105144,Forecast
Project B,2026-09-01,102760.09570491365,58286.51153739612,10200.0,5300.0,1854.0,27119.584167517525,470092.304918569,Forecast
Project B,2026-10-01,103739.65239929924,58735.13489869101,10200.0,5300.0,1854.0,27650.517500608235,497742.8224191772,Forecast
Project B,2026-11-01,104728.54668052663,59187.211253053945,10200.0,5300.0,1854.0,28187.335427472688,525930.1578466499,Forecast
Project B,2026-12-01,105726.86755878638,59642.7671777035,10200.0,5300.0,1854.0,28730.100381082884,554660.2582277327,Forecast
